,会社名,求人タイトル,項目C
0,株式会社KAMING | 年間休日125日/残業月平均7.62H/定着率91.8％/研修充実/副業OK,【ITエンジニア】*前給保証 *平均還元率80.1％ *常時1万案件 正社員,項目C
1,株式会社こども総合研究所 | ＜教育×IT(AI・ビッグデータ)／年休125日／残業ほぼゼロ＞,【自社プロダクトの開発エンジニア】★前職給与以上を確約します 正社員,項目C
2,サンライズシステム株式会社 | 決済アプリ等実績豊富！《エンジニアファースト》な会社です,前給保証！【ITエンジニア】土日祝休/年休125日/全国から応募OK 正社員,項目C
3,フォーザウィン株式会社 | ＜有休消化率100%／残業月平均15時間以下／年間休日125日＞,【インフラエンジニア】◆経験者 ◆前給以上確約 ◆面接保証 正社員,項目C
4,株式会社アライブ．ｃｏｍ | 入社祝金10万円★年休130日★フルリモート＆在宅＆社内案件あり,"前職より""増給保証""【SE/PG】★独立支援制度★リモートワークOK 正社員",項目C
5,株式会社エージェントゲート | 大手プライム多数/前職最大限保証/定着率94％/年休130日,【SE・PG】還元率最大75%！常時1600件！※学歴不問 正社員,項目C
6,株式会社FAM　 | #取引先400社以上 #自社サービスあり #平均年齢26歳 #残業月20H,未経験OK♪【Webエンジニア】★土日祝休★年休120日★定着率90％ 正社員,項目C
7,株式会社フロムオリジン | ◆大手案件が多数 ◆月収100万円～も可能 ◆スタートアップ企業,次世代の働き方を実現！【ITエンジニア】☆フルリモート案件95％ 業務委託,項目C
8,株式会社テクノ情報シンク | 年間休日120日以上&福利厚生充実で社員定着率も抜群！,【初級SE・プログラマー】充実の研修でデビュー！／面接1回 正社員,項目C
9,株式会社イースト・コースト・ワン | 自社サービス、受託プロジェクト増加に向け、積極採用中！,【ITエンジニア（開発・インフラ）】希望を全て実現！学歴不問 正社員,項目C
10,株式会社エー・エス・エル | 《東証プライム市場上場グループ》コロナ禍でも過去最高益レベル,【ITエンジニア（開発／インフラ）】◎テレワーク率85%以上 正社員,項目C
11,株式会社VRST | 独立支援制度あり！英語教育・プログラミング(Java/AWS)研修実施,【ITエンジニア】★グローバル人材に育成します！★副業OK 正社員,項目C
12,株式会社ライズイノベーター | 完全週休2日/土日祝休/面接1回(WEB可)/教育補助金年間20万円,"前職より必ず""増給""！【ITエンジニア】年休134日/女性活躍中♪ 正社員",項目C
13,株式会社ワーキテクノ | ★休み・収入も妥協なし♪３年で500名規模の採用がスタート！！,チームで案件を進める【ITエンジニア】未経験OK！26.8万円以上♪ 正社員,項目C
14,株式会社SALTO | ＃完全週休2日制＃有給消化率92％＃前給考慮＃月残業平均12時間,☆年休132日☆フルリモート案件多数☆【開発エンジニア】 正社員,項目C
15,株式会社クリア | ＜＜ Pythonやクラウド案件も豊富！選択権100％エンジニア！＞＞,リモート率92％！フリーランスのような正社員！【ITエンジニア】 正社員,項目C
16,株式会社ITAGE GLOBAL | ◆遠方応募・WEB面接可 ◆年休120日 ◆産育休の取得・復帰実績有,【ITエンジニア】■残業月平均8時間！■文系・未経験OK！ 正社員,項目C
17,株式会社プライム21 | ★完全土日祝休み/ほぼ定時退社/転勤なし/大手企業と取引あり,自社開発あり/リモートOK【PG・SE】※賞与年6ヶ月分 /年休125日 正社員,項目C
18,リバーコンティニュー株式会社 | 完全週休2日制／残業月平均10h【大阪府緊急雇用対策に賛同】,未経験からチャレンジできる【プログラマー】年間休日125日！ 正社員,項目C
19,株式会社アイ・ディ・エイチ | エンジニア至上主義の環境◆社員全員100万円以上年収UPの実績有,案件単価の還元率83％◆磨いた技術を活かし幅広く活躍【SE・PG】 正社員,項目C
20,株式会社フラット | リモート案件92％/還元率も上昇中！/全国に拠点を拡大！,【ITエンジニア】社内業務を完全撤廃◎業界いちゆる～く働ける！ 正社員,項目C
21,日本立友ソフト株式会社 | 年休127日/資格取得サポート充実/9割以上がプライム案件,【ITエンジニア】＊定着率90％ ＊土日祝休み ＊支援も手厚い 正社員,項目C
22,SES株式会社 | 高収入×安定性〈年休125日・土日祝！◎退職制度あり・副業OK〉,経験者歓迎◇前給保証【SE／PG】◎平均還元率80％！◎リモート可 正社員,項目C
23,インフォシー株式会社 | ★グローバルベンチャー企業★年休120日以上★残業は月10h以下♪,【ITエンジニア】前職の給与よりも『増給』を必ず保証します！！ 正社員,項目C
